,index,prediction_1,prediction_2
0,test_0,57.57734976280697,57.65209755324306
1,test_1,88.60881821830276,85.68409548774906
2,test_2,80.7746396542114,81.29167832146325
3,test_3,77.44926217289199,77.8650695408385
4,test_4,53.77524488969161,53.45139648714174
5,test_5,89.09592891320382,88.63194390638715
6,test_6,82.48094906155188,82.75360973868891
7,test_7,54.147663073518395,53.62883871473812
8,test_8,51.9646814632374,52.16325854871042
9,test_9,84.25134419474956,84.98117441156533
10,test_10,26.018166948065968,26.20659019675419
11,test_11,48.835924549752846,48.13955978378274
12,test_12,66.07791368591482,67.08472142181087
13,test_13,47.821554718153436,47.621680563678844
14,test_14,52.94944294922312,52.16797308564376
15,test_15,73.11718944638241,73.95515930352634
16,test_16,80.0675904930292,77.3615952100713
17,test_17,53.849997397216434,53.610891449747996
18,test_18,36.62691147071847,36.55953383118594
19,test_19,57.66816516301088,56.53491952122145
20,test_20,46.370350620431324,46.18909670801549
21,test_21,88.3860343943823,88.08419259125498
22,test_22,109.9307128315429,111.57439535833274
23,test_23,88.43119857551542,87.04746058980899
24,test_24,57.50544310411872,57.20907024313819
25,test_25,52.371673203441446,52.203207473670794
26,test_26,46.85429611891991,46.58062134585096
27,test_27,54.29171478506655,54.23950886232803
28,test_28,81.9675937486634,83.42560146352416
29,test_29,35.149110684480995,36.102016666257676
30,test_30,63.97776730591722,64.60934874923335
31,test_31,64.86781904712392,64.8811162777218
32,test_32,54.44642011065338,54.44591419347414
33,test_33,27.011698661796625,27.481664747884874
34,test_34,53.17444149299804,52.884830322583596
35,test_35,45.328952282043,45.64853575382642
36,test_36,78.52995898468001,78.3333280698181
37,test_37,52.40873879416268,52.20314040632667
38,test_38,72.12683601017865,74.97497766410478
39,test_39,66.77115014402206,67.19126992585029
40,test_40,47.925448842382785,47.991153870576035
41,test_41,86.53562595513489,86.99671339424297
42,test_42,54.05997032269264,53.912247781862874
43,test_43,105.25986344554497,104.40333022784529
44,test_44,58.26355074345928,58.61043036159887
45,test_45,48.08617032156687,47.651639077606035
46,test_46,47.46926869308976,47.14134846525129
47,test_47,73.50718386578305,73.61285013195152
48,test_48,105.41254005032403,106.50203998947396
49,test_49,57.159802878080065,56.9940636790907
50,test_50,54.33645601174883,54.35354741246458
51,test_51,84.95301683663294,85.83134603427283
52,test_52,46.99994421240487,46.89329713724043
53,test_53,75.38019410831599,76.17528162048096
54,test_54,53.16897905252668,52.94078873797456
